,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0, A Class,2020,32980,Automatic,606,Petrol,145,35.8,2.0
1, A Class,2020,26980,Automatic,1000,Diesel,145,62.8,1.5
2, A Class,2020,28128,Automatic,2563,Petrol,145,47.9,1.3
3, A Class,2019,23184,Manual,1173,Petrol,145,44.8,1.3
4, A Class,2017,15787,Automatic,24092,Diesel,20,70.6,2.1
5, A Class,2019,25701,Automatic,11000,Diesel,150,56.5,2.0
6, A Class,2019,25190,Automatic,2471,Diesel,145,56.5,2.0
7, A Class,2006,2880,Automatic,66000,Diesel,160,52.3,2.0
8, A Class,2011,3440,Manual,74000,Diesel,150,54.3,2.0
9, A Class,2013,7300,Automatic,54000,Diesel,30,65.7,1.8
10, A Class,2018,18220,Automatic,10361,Diesel,145,68.9,1.5
11, A Class,2019,18118,Automatic,15561,Diesel,145,68.9,1.5
12, A Class,2019,17990,Automatic,14783,Diesel,145,65.7,1.5
13, A Class,2018,18888,Automatic,11565,Diesel,145,67.3,1.5
14, A Class,2019,19840,Automatic,6781,Petrol,145,28.5,1.3
15, A Class,2019,18241,Automatic,15722,Diesel,145,65.7,1.5
16, A Class,2019,18141,Automatic,15689,Diesel,145,65.7,1.5
17, A Class,2020,24107,Automatic,3500,Diesel,145,62.8,1.5
18, A Class,2019,22596,Automatic,5382,Diesel,145,62.8,1.5
19, A Class,2019,22730,Automatic,1521,Diesel,145,56.5,2.0
20, A Class,2018,20450,Automatic,6511,Diesel,150,65.7,1.5
21, A Class,2014,11980,Automatic,66690,Diesel,20,64.2,2.1
22, A Class,2017,18890,Automatic,7875,Petrol,150,53.3,1.6
23, A Class,2016,27995,Automatic,13000,Petrol,200,40.9,2.0
24, A Class,2019,18995,Semi-Auto,21400,Petrol,145,53.3,1.3
25, A Class,2013,11998,Semi-Auto,54060,Diesel,30,64.2,2.1
26, A Class,2017,17498,Semi-Auto,16244,Diesel,145,74.3,1.5
27, A Class,2016,16998,Semi-Auto,29160,Diesel,20,67.3,2.1
28, A Class,2019,19498,Semi-Auto,14899,Diesel,145,68.9,1.5
29, A Class,2015,18998,Semi-Auto,23247,Petrol,200,42.8,2.0
30, A Class,2015,16998,Semi-Auto,39587,Petrol,200,42.8,2.0
31, A Class,2017,18298,Semi-Auto,7919,Diesel,145,68.9,2.1
32, A Class,2019,22998,Semi-Auto,3770,Petrol,150,53.3,1.3
33, A Class,2013,9995,Semi-Auto,47000,Diesel,20,68.9,1.8
34, A Class,2018,22990,Semi-Auto,5491,Petrol,145,45.6,2.0
35, A Class,2018,19995,Semi-Auto,2348,Petrol,145,53.3,1.3
36, A Class,2016,15000,Manual,30761,Diesel,30,62.8,2.1
37, A Class,2019,18995,Semi-Auto,3150,Diesel,145,65.7,1.5
38, A Class,2017,16995,Semi-Auto,25800,Diesel,150,68.9,2.1
39, A Class,2018,23498,Semi-Auto,5189,Petrol,150,53.3,1.3
40, A Class,2019,21498,Semi-Auto,6324,Diesel,145,65.7,1.5
41, A Class,2019,21498,Semi-Auto,5685,Diesel,145,65.7,1.5
42, A Class,2018,18998,Semi-Auto,12386,Diesel,145,68.9,1.5
43, A Class,2019,20998,Semi-Auto,9651,Diesel,145,56.5,2.0
44, A Class,2018,21998,Semi-Auto,15450,Petrol,150,53.3,1.3
45, A Class,2019,21998,Semi-Auto,19324,Petrol,150,53.3,1.3
46, A Class,2016,21998,Semi-Auto,17171,Petrol,165,45.6,2.0
47, A Class,2017,15245,Manual,22969,Diesel,145,68.9,1.5
48, A Class,2013,9995,Manual,83000,Diesel,20,70.6,1.5
49, A Class,2016,15200,Semi-Auto,39057,Diesel,20,74.3,1.5
50, A Class,2016,15200,Semi-Auto,23286,Diesel,20,68.9,2.1
51, A Class,2019,21498,Semi-Auto,4138,Diesel,145,65.7,1.5
52, A Class,2016,15498,Semi-Auto,63454,Diesel,20,74.3,1.5
53, A Class,2016,12498,Manual,54544,Diesel,20,72.4,1.5
54, A Class,2018,17498,Semi-Auto,15316,Petrol,145,49.6,1.6
55, A Class,2017,18498,Semi-Auto,15478,Petrol,145,53.3,1.6
56, A Class,2019,23498,Semi-Auto,5800,Diesel,150,65.7,1.5
57, A Class,2017,15498,Manual,47412,Diesel,20,68.9,1.5
58, A Class,2019,18498,Manual,2810,Petrol,145,28.5,1.3
59, A Class,2016,14998,Manual,24569,Diesel,20,68.9,1.5
60, A Class,2018,19998,Semi-Auto,6340,Petrol,145,53.3,1.3
61, A Class,2018,17498,Semi-Auto,15597,Diesel,145,68.9,2.1
